"","Sex","Age","Education","Caste","Family","Family_income","Who_runs_page","Desc_family","Desc_desiredpartner"
"1","Male","32 and more","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Parent","Our Family is very simple and having moderate values..I am retired Bank employees. My wife Kirtima Vaish is a homemaker and my two younger sons IT professionals . His youngest Brother in TCS San Francisco U S A. Second Youngest Brother coordinater in Sankalp India . Now we are living in Bangalore. He is currently living in Bangalore .We have two houses,one in Bangalore and another one in Faizabad.","Looking for a girl who Respect family value friendly and simple in nature"
"2","Male","28 to 31","Graduate","Dalit","Nuclear Family","Max 6.3 lakh","Self","our family in 5 member.my father work in labour, my mother is home maker,elder sis married, I am a Bams doctor Nd working in private hospital, my younger brother is working a shop","only doctor,good looking,"
"3","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","father is working in semi government sector (BHEL) mother is housewife two brother,one brother is married and he is working in semi government sector and one brother is unmarried and he is doing study","She should be professionally qualified girl. She should be caring, soft spoken, loving and a girl of pleasing personality. She should be from a very good family background and understand her responsibilities towards life and family."
"4","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","My family lives in haldwani. I have 1 elder brother who is in teaching profession.","Looking for a companion who would be my best friend, with whom I can have an interesting conversation, enjoy each other's craziness and traverse the journey of life."
"5","Female","32 and more","Postgraduate","Other upper caste","Joint Family","Max 5 lakh","Self","I belong to middle class family. ..my father is retired and my mother is house wife. .Mere Do bhai hai. ek ki sadi ho gyi. ek sis hai uski bhi sadi ho gyi. .Me apni beti ke sath apni family me hi rhti hu","I want to be a caring and loving life partner. .Be a good Friend"
"6","Male","32 and more","Postgraduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Sibling","We belong to a middle class Lucknow based family. Where our parental relations are in CHIKAN GARMENTS business. My father was a civil engieer in UP govt. we lost him in 1988. My mother is also a graduate & sereved UP Govt to support the family after my father. She retired from services in 2006 and since she is taking care of home. We are 4 brothers & sisters and my brother is the third in all. Eldest sister is graduate & married. Second sister is Post graduate & teaching in a Senior secondary school. Myself is youngest in family, Engineering graduate & enjoying my career in a limited company in managerial function.","Simple, cultured and independent lady. not necessarily a working or so called modern girl, but should be able to shoulder family responsibilities as a balancing partner."
"7","Female","Upto 27","Graduate","Brahmin","Nuclear Family","Max 5 lakh","Self","my father is ex-,Subedar in indian army my loving mother is house wife elder is doing job in mumbai after completing(BCA,MBA)/ my brother's wife also doing job with his husband in mumbai. younger brother B.tech (pursuing) elder sister is married and she's done (M.com,B.com,B.ed)from jaipur.","his be A real Man..."
"8","Female","Upto 27","Graduate","Brahmin","Joint Family","Max 17.5 lakh","Self","my family is very simple and sweet","he is cool mind and loving caring doing good job"
"9","Female","Upto 27","Postgraduate","Other upper caste","Joint Family","More than 17.5","Parent","I live in a joint family with my grandparents as they are pillar of our family where on the other side my father and uncle work together and expand our business in a good position just because of their togetherness and moral support and values. My mother is a homemaker and aunt is a lecturer. My younger brother is pursuing MBA and cousin brother is studying in school.","He should be polite, honest and down to earth and more important giving respect to everyone."
"10","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","More than 17.5","Self","NO SIBLINGS","I am looking for a suitable match ,a woman who would be educated,Caste and community doesnot matter to me ,All i just want a partner who would have great understanding ability and loving with caring nature who know the value of family."
